student_id,age,gender,time_spent_on_videos,quiz_attempts,quiz_scores,forum_participation,assignment_completion_rate,engagement_level,final_exam_score,feedback_score,dropout_likelihood,education_level_Postgraduate,education_level_Undergraduate,course_name_Data Science,course_name_Machine Learning,course_name_Python Basics,course_name_Web Development,learning_style_Kinesthetic,learning_style_Reading/Writing,learning_style_Visual,engagement_score,learning_outcome_score,age_group_19–25,age_group_26–35,age_group_36–50,age_group_51+,learner_cluster
S00001,15,1,171,4,67,2,89,1,51,1,0,False,False,False,True,False,False,False,False,True,79.2,45.8,False,False,False,False,1
S00002,49,0,156,4,64,0,94,1,92,5,0,False,True,False,False,True,False,False,True,False,75.8,66.2,False,False,True,False,1
S00003,20,1,217,2,55,2,67,1,45,1,0,False,True,False,False,True,False,False,True,False,86.0,39.2,True,False,False,False,0
S00004,37,1,489,1,65,43,60,2,59,4,0,False,True,True,False,False,False,False,False,True,173.5,49.8,False,False,True,False,0
S00005,34,1,496,3,59,34,88,1,93,3,0,True,False,False,False,True,False,False,False,True,182.6,64.8,False,True,False,False,1
S00006,34,0,184,1,87,34,70,1,43,4,0,False,True,False,False,False,True,False,False,True,83.2,48.4,False,True,False,False,0
S00007,45,0,454,3,69,46,83,0,37,5,0,False,False,False,False,False,False,True,False,False,170.9,40.2,False,False,True,False,1
S00008,47,0,425,2,62,23,52,2,35,5,0,False,False,False,False,False,False,False,True,False,148.1,37.1,False,False,True,False,0
S00009,48,0,359,1,59,10,88,1,49,2,0,False,True,False,False,False,False,False,True,False,136.3,42.6,False,False,True,False,1
S00010,45,1,263,4,63,30,99,0,61,3,0,False,True,True,False,False,False,False,False,False,115.4,50.0,False,False,True,False,1
S00011,29,0,247,1,80,42,85,2,46,3,0,True,False,True,False,False,False,False,False,True,108.2,47.6,False,True,False,False,1
S00012,48,0,25,1,77,36,58,2,83,4,0,False,True,False,False,True,False,False,True,False,32.3,65.4,False,False,True,False,0
